,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,cases,unemployment,winner,BachEd,NoEd,MaskAlways,MaskNever,CasesPerPop
0,Alabama,1001,Autauga County,19838,7503,27770,12335,0.714368023046453,0.27018365142239825,0.4441843716240547,4268,5.3,Rep,23.2,12.8,0.444,0.053,0.07676120933076744
1,Alabama,1003,Baldwin County,83544,24578,109679,58966,0.7617137282433283,0.22409029987509005,0.5376234283682382,13955,5.4,Rep,29.0,10.5,0.436,0.083,0.06400730201539294
2,Alabama,1005,Barbour County,5622,4816,10518,806,0.5345122646891044,0.4578817265639856,0.07663053812511883,1528,8.6,Rep,12.5,26.7,0.491,0.067,0.06141232265584181
3,Alabama,1007,Bibb County,7525,1986,9595,5539,0.7842626367899947,0.20698280354351226,0.5772798332464825,1863,6.6,Rep,10.6,19.3,0.5720000000000001,0.02,0.08316964285714286
4,Alabama,1009,Blount County,24711,2640,27588,22071,0.8957155284906481,0.09569377990430622,0.8000217485863419,4729,5.5,Rep,12.9,21.5,0.45899999999999996,0.053,0.08176002766251729
5,Alabama,1011,Bullock County,1146,3446,4613,-2300,0.2484283546499025,0.7470192933015392,-0.4985909386516367,892,7.2,Dem,13.9,35.1,0.5,0.031,0.0879857960149931
6,Alabama,1013,Butler County,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,0.1573566610455312,1530,7.1,Rep,14.5,22.2,0.451,0.102,0.07774390243902439
7,Alabama,1015,Calhoun County,35101,15216,50983,19885,0.6884843967597042,0.2984524253182433,0.3900319714414609,9692,6.7,Rep,17.6,19.1,0.442,0.152,0.08481146687434916
8,Alabama,1017,Chambers County,8753,6365,15284,2388,0.5726903951845067,0.4164485736718137,0.15624182151269306,2386,5.5,Rep,11.6,21.1,0.56,0.11699999999999999,0.07098021716495612
9,Alabama,1019,Cherokee County,10583,1624,12301,8959,0.8603365580034144,0.13202178684659785,0.7283147711568165,1435,5.2,Rep,13.8,20.5,0.52,0.135,0.055124462200368776
10,Alabama,1021,Chilton County,16085,3073,19310,13012,0.8329880890730191,0.1591403417918177,0.6738477472812014,3019,5.6,Rep,14.1,21.6,0.618,0.06,0.0683758747989944
11,Alabama,1023,Choctaw County,4296,3127,7464,1169,0.5755627009646302,0.4189442658092176,0.15661843515541268,492,8.9,Rep,11.8,23.6,0.568,0.049,0.038314772992757574
12,Alabama,1025,Clarke County,7324,5755,13135,1569,0.5575942139322421,0.4381423677198325,0.11945184621240955,2438,11.1,Rep,12.9,19.5,0.43,0.049,0.10192307692307692
13,Alabama,1027,Clay County,5601,1267,6930,4334,0.8082251082251082,0.18282828282828284,0.6253968253968254,1158,6.2,Rep,9.6,24.9,0.32899999999999996,0.14800000000000002,0.0872316384180791
14,Alabama,1029,Cleburne County,6484,675,7227,5809,0.8971910889719109,0.09339975093399752,0.8037913380379134,1046,6.1,Rep,12.1,24.9,0.368,0.151,0.06979382131180356
15,Alabama,1031,Coffee County,16899,5076,22275,11823,0.7586531986531987,0.2278787878787879,0.5307744107744108,3678,6.1,Rep,23.9,15.4,0.466,0.10099999999999999,0.0708547650696411
