,ISO,Country,acct_bal,lend_borr,GDP_pc_cp,GDP_conp,GDP_currp,Inflation_avg,Inflation_eop,Country_name,cases,deaths,population,Death rate
49,ABW,Aruba,-0.224,0.39,-0.045,0.4,4.472,4.257,5.162,Aruba,4038,30,106310,0.007429421
0,AFG,Afghanistan,8.591,-0.983,1.654,3.037,76.624,2.302,2.773,Afghanistan,39290,1458,38041757,0.037108679
21,AGO,Angola,2.899,0.695,-4.371,-1.503,200.83,17.079,16.893,Angola,5114,185,31825299,0.036175205
7,ALB,Albania,-7.621,-1.957,2.095,2.214,39.832,1.411,1.15,Albania,13965,389,2862427,0.027855353
1267,ARE,United Arab Emirates,7.365,-0.814,-1.71,1.292,744.092,-1.931,-1.931,United_Arab_Emirates,96529,424,9770526,0.004392462
35,ARG,Argentina,-0.771,-3.869,-3.132,-2.163,911.562,53.548,53.832,Argentina,779676,20599,44780675,0.026419949
42,ARM,Armenia,-8.201,-0.976,7.588,7.597,33.426,1.443,0.72,Armenia,51382,966,2957728,0.018800358
28,ATG,Antigua and Barbuda,-7.479,-3.725,3.696,5.264,2.767,1.38,1.574,Antigua_and_Barbuda,106,3,97115,0.028301887
56,AUS,Australia,0.509,-3.732,0.294,1.847,"1,362.07",1.61,1.842,Australia,27113,890,25203200,0.032825582
63,AUT,Austria,2.614,0.443,0.839,1.585,476.812,1.49,1.801,Austria,47189,803,8858775,0.017016678
70,AZE,Azerbaijan,9.232,8.419,1.038,2.25,187.346,2.6,2.7,Azerbaijan,40453,594,10047719,0.014683707
182,BDI,Burundi,-16.398,-5.964,-1.192,1.772,8.711,-0.709,5.142,Burundi,513,1,11530577,0.001949318
105,BEL,Belgium,-1.227,-1.658,0.861,1.365,572.902,1.249,0.922,Belgium,124140,10037,11455519,0.080852264
119,BEN,Benin,-5.057,-0.545,3.483,6.397,40.643,-0.933,0.274,Benin,2357,41,11801151,0.017394994
175,BFA,Burkina Faso,-4.354,-2.995,2.701,5.689,47.303,-3.233,-2.556,Burkina_Faso,2123,58,20321383,0.02731983
84,BGD,Bangladesh,-2.7,-5.247,6.773,7.879,838.554,5.691,5.713,Bangladesh,366383,5305,163046173,0.014479384
168,BGR,Bulgaria,4.042,-0.968,3.891,3.372,170.925,2.457,3.1,Bulgaria,21336,838,7000039,0.03927634
77,BHR,Bahrain,-2.928,-10.615,1.63,1.819,76.94,1,1.7,Bahrain,71803,255,1641164,0.003551384
1183,BHS,The Bahamas,0.56,-1.669,0.677,1.801,12.798,1.335,1.822,Bahamas,4220,96,389486,0.022748815
