,countriesAndTerritories,cases,deaths,popData2019,countryterritoryCode
0,Afghanistan,39290,1458,38041757,AFG
1,Albania,13965,389,2862427,ALB
2,Algeria,51847,1749,43053054,DZA
3,Andorra,2110,53,76177,AND
4,Angola,5114,185,31825299,AGO
5,Anguilla,3,0,14872,AIA
6,Antigua_and_Barbuda,106,3,97115,ATG
7,Argentina,779676,20599,44780675,ARG
8,Armenia,51382,966,2957728,ARM
9,Aruba,4038,30,106310,ABW
10,Australia,27113,890,25203200,AUS
11,Austria,47189,803,8858775,AUT
12,Azerbaijan,40453,594,10047719,AZE
13,Bahamas,4220,96,389486,BHS
14,Bahrain,71803,255,1641164,BHR
15,Bangladesh,366383,5305,163046173,BGD
16,Barbados,193,7,287021,BRB
17,Belarus,79421,844,9452409,BLR
18,Belgium,124140,10037,11455519,BEL
19,Belize,2080,28,390351,BLZ
20,Benin,2357,41,11801151,BEN
21,Bermuda,181,9,62508,BMU
22,Bhutan,283,0,763094,BTN
23,Bolivia,136219,8045,11513102,BOL
24,"Bonaire, Saint Eustatius and Saba",124,1,25983,BES
25,Bosnia_and_Herzegovina,27745,854,3300998,BIH
26,Botswana,3172,16,2303703,BWA
27,Brazil,4880523,145388,211049519,BRA
28,British_Virgin_Islands,71,1,30033,VGB
29,Brunei_Darussalam,146,3,433296,BRN
30,Bulgaria,21336,838,7000039,BGR
31,Burkina_Faso,2123,58,20321383,BFA
32,Burundi,513,1,11530577,BDI
33,Cambodia,278,0,16486542,KHM
34,Cameroon,20924,420,25876387,CMR
35,Canada,162659,9409,37411038,CAN
36,Cape_Verde,6205,62,549936,CPV
37,Cases_on_an_international_conveyance_Japan,696,7,,
38,Cayman_Islands,213,1,64948,CYM
39,Central_African_Republic,4829,62,4745179,CAF
40,Chad,1211,85,15946882,TCD
41,Chile,466590,12867,18952035,CHL
42,China,90584,4739,1433783692,CHN
43,Colombia,841531,26397,50339443,COL
44,Comoros,484,7,850891,COM
45,Congo,5089,89,5380504,COG
46,Costa_Rica,77829,930,5047561,CRI
47,Cote_dIvoire,19793,120,25716554,CIV
48,Croatia,17160,291,4076246,HRV
49,Cuba,5718,122,11333484,CUB
50,Curaçao,411,1,163423,CUW
51,Cyprus,1789,22,875899,CYP
52,Czechia,78051,699,10649800,CZE
53,Democratic_Republic_of_the_Congo,10684,272,86790568,COD
54,Denmark,28932,652,5806081,DNK
55,Djibouti,5417,61,973557,DJI
56,Dominica,31,0,71808,DMA
57,Dominican_Republic,113350,2117,10738957,DOM
58,Ecuador,139534,11495,17373657,ECU
59,Egypt,103466,5956,100388076,EGY
60,El_Salvador,29175,853,6453550,SLV
61,Equatorial_Guinea,5045,83,1355982,GNQ
62,Eritrea,381,0,3497117,ERI
63,Estonia,3507,66,1324820,EST
64,Eswatini,5521,111,1148133,SWZ
65,Ethiopia,76988,1208,112078727,ETH
66,Falkland_Islands_(Malvinas),13,0,3372,FLK
67,Faroe_Islands,472,0,48677,FRO
68,Fiji,32,2,889955,FJI
