,countriesAndTerritories,cases,deaths,popData2019,countryterritoryCode,death rate,popinfect
0,Afghanistan,39290,1458,38041757,AFG,3.710867905,0.103281244
1,Albania,13965,389,2862427,ALB,2.785535267,0.487872704
2,Algeria,51847,1749,43053054,DZA,3.373387081,0.120425836
3,Andorra,2110,53,76177,AND,2.511848341,2.76986492
4,Angola,5114,185,31825299,AGO,3.617520532,0.016068977
5,Anguilla,3,0,14872,AIA,0,0.020172136
6,Antigua_and_Barbuda,106,3,97115,ATG,2.830188679,0.109148947
7,Argentina,779676,20599,44780675,ARG,2.64199488,1.741099258
8,Armenia,51382,966,2957728,ARM,1.88003581,1.737211806
9,Aruba,4038,30,106310,ABW,0.742942051,3.798325651
10,Australia,27113,890,25203200,AUS,3.282558182,0.107577609
11,Austria,47189,803,8858775,AUT,1.701667762,0.532680873
12,Azerbaijan,40453,594,10047719,AZE,1.468370702,0.402608791
13,Bahamas,4220,96,389486,BHS,2.274881517,1.083479252
14,Bahrain,71803,255,1641164,BHR,0.355138365,4.375126435
15,Bangladesh,366383,5305,163046173,BGD,1.44793836,0.224711193
16,Barbados,193,7,287021,BRB,3.626943005,0.067242467
17,Belarus,79421,844,9452409,BLR,1.062691228,0.840219673
18,Belgium,124140,10037,11455519,BEL,8.085226357,1.083669801
19,Belize,2080,28,390351,BLZ,1.346153846,0.532853765
20,Benin,2357,41,11801151,BEN,1.739499364,0.019972628
21,Bermuda,181,9,62508,BMU,4.972375691,0.289562936
22,Bhutan,283,0,763094,BTN,0,0.037085864
23,Bolivia,136219,8045,11513102,BOL,5.905930891,1.183165058
24,"Bonaire, Saint Eustatius and Saba",124,1,25983,BES,0.806451613,0.477235115
25,Bosnia_and_Herzegovina,27745,854,3300998,BIH,3.078032078,0.840503387
26,Botswana,3172,16,2303703,BWA,0.504413619,0.13769136
27,Brazil,4880523,145388,211049519,BRA,2.978943035,2.312501361
28,British_Virgin_Islands,71,1,30033,VGB,1.408450704,0.236406619
29,Brunei_Darussalam,146,3,433296,BRN,2.054794521,0.033695211
30,Bulgaria,21336,838,7000039,BGR,3.927634046,0.304798302
31,Burkina_Faso,2123,58,20321383,BFA,2.731983043,0.010447124
32,Burundi,513,1,11530577,BDI,0.194931774,0.00444904
33,Cambodia,278,0,16486542,KHM,0,0.001686224
